Date: 2026-06-21 22:29:40s, Time_Cost: 35s, Epoch: [1/5], Train_PSNR: 3.18, Val_PSNR: 8.32, Val_SSIM: 0.9575
Date: 2026-06-21 22:30:15s, Time_Cost: 35s, Epoch: [2/5], Train_PSNR: -0.32, Val_PSNR: 8.38, Val_SSIM: 0.9482
Date: 2026-06-21 22:30:54s, Time_Cost: 39s, Epoch: [3/5], Train_PSNR: -0.42, Val_PSNR: 8.98, Val_SSIM: 0.9584
Date: 2026-06-21 22:31:37s, Time_Cost: 43s, Epoch: [4/5], Train_PSNR: -0.32, Val_PSNR: 8.23, Val_SSIM: 0.9463
Date: 2026-06-21 22:32:23s, Time_Cost: 45s, Epoch: [5/5], Train_PSNR: -0.84, Val_PSNR: 8.04, Val_SSIM: 0.9307
Date: 2026-06-21 22:34:14s, Time_Cost: 34s, Epoch: [1/5], Train_PSNR: 3.18, Val_PSNR: 8.32, Val_SSIM: 0.9575
Date: 2026-06-21 22:34:49s, Time_Cost: 35s, Epoch: [2/5], Train_PSNR: -0.32, Val_PSNR: 8.38, Val_SSIM: 0.9482
Date: 2026-06-21 22:35:24s, Time_Cost: 35s, Epoch: [3/5], Train_PSNR: -0.42, Val_PSNR: 8.98, Val_SSIM: 0.9584
Date: 2026-06-21 22:36:40s, Time_Cost: 37s, Epoch: [1/5], Train_PSNR: 3.18, Val_PSNR: 8.32, Val_SSIM: 0.9575
Date: 2026-06-21 22:37:19s, Time_Cost: 39s, Epoch: [2/5], Train_PSNR: -0.32, Val_PSNR: 8.38, Val_SSIM: 0.9482
Date: 2026-06-21 22:37:59s, Time_Cost: 40s, Epoch: [3/5], Train_PSNR: -0.42, Val_PSNR: 8.98, Val_SSIM: 0.9584
Date: 2026-06-21 22:38:39s, Time_Cost: 40s, Epoch: [4/5], Train_PSNR: -0.32, Val_PSNR: 8.23, Val_SSIM: 0.9463
Date: 2026-06-21 22:39:19s, Time_Cost: 40s, Epoch: [5/5], Train_PSNR: -0.84, Val_PSNR: 8.04, Val_SSIM: 0.9307
Date: 2026-06-21 23:11:01s, Time_Cost: 35s, Epoch: [1/5], Train_PSNR: 3.18, Val_PSNR: 8.32, Val_SSIM: 0.9575
Date: 2026-06-21 23:11:35s, Time_Cost: 35s, Epoch: [2/5], Train_PSNR: -0.32, Val_PSNR: 8.38, Val_SSIM: 0.9482
Date: 2026-06-21 23:12:10s, Time_Cost: 35s, Epoch: [3/5], Train_PSNR: -0.42, Val_PSNR: 8.98, Val_SSIM: 0.9584
Date: 2026-06-21 23:12:45s, Time_Cost: 35s, Epoch: [4/5], Train_PSNR: -0.32, Val_PSNR: 8.23, Val_SSIM: 0.9463
Date: 2026-06-21 23:13:20s, Time_Cost: 35s, Epoch: [5/5], Train_PSNR: -0.84, Val_PSNR: 8.04, Val_SSIM: 0.9307
Date: 2026-06-21 23:18:26s, Time_Cost: 34s, Epoch: [1/5], Train_PSNR: 3.18, Val_PSNR: 8.32, Val_SSIM: 0.9575
Date: 2026-06-21 23:19:01s, Time_Cost: 35s, Epoch: [2/5], Train_PSNR: -0.32, Val_PSNR: 8.38, Val_SSIM: 0.9482
Date: 2026-06-21 23:19:35s, Time_Cost: 34s, Epoch: [3/5], Train_PSNR: -0.42, Val_PSNR: 8.98, Val_SSIM: 0.9584
Date: 2026-06-21 23:20:10s, Time_Cost: 35s, Epoch: [4/5], Train_PSNR: -0.32, Val_PSNR: 8.23, Val_SSIM: 0.9463
Date: 2026-06-21 23:20:45s, Time_Cost: 35s, Epoch: [5/5], Train_PSNR: -0.84, Val_PSNR: 8.04, Val_SSIM: 0.9307
Date: 2026-06-21 23:49:22s, Time_Cost: 681s, Epoch: [1/5], Train_PSNR: 0.71, Val_PSNR: 8.66, Val_SSIM: 0.9528
Date: 2026-06-22 00:02:05s, Time_Cost: 763s, Epoch: [2/5], Train_PSNR: 0.71, Val_PSNR: 8.68, Val_SSIM: 0.9532
Date: 2026-06-22 00:15:20s, Time_Cost: 796s, Epoch: [3/5], Train_PSNR: 0.72, Val_PSNR: 8.68, Val_SSIM: 0.9532
